0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:41:23 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5358
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:42:04 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5319
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:42:07 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:42:07 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:42:08 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5353
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:42:11 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5319
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:42:14 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:42:14 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:42:14 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5353
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:44:58 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5325
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:45:15 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5325
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:45:20 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:45:20 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:45:41 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5359
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:45:45 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:45:45 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:47:03 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5359
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:47:07 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:47:07 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:47:37 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5358
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:47:40 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:47:40 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:47:40 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:47:49 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:47:49 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
