127.0.0.1 - - [28/Sep/2020:09:41:33 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Sep/2020:09:41:35 -0300] "GET /InvestimentosWEB/carteira.jsp HTTP/1.1" 200 3201
0:0:0:0:0:0:0:1 - - [28/Sep/2020:09:41:35 -0300] "GET /InvestimentosWEB/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:09:41:36 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Sep/2020:09:53:08 -0300] "GET /InvestimentosWEB/carteira.jsp HTTP/1.1" 200 3201
0:0:0:0:0:0:0:1 - - [28/Sep/2020:09:53:13 -0300] "GET /InvestimentosWEB/carteira HTTP/1.1" 405 1116
0:0:0:0:0:0:0:1 - - [28/Sep/2020:09:53:19 -0300] "GET /InvestimentosWEB/carteira.jsp HTTP/1.1" 200 3201
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:01:49 -0300] "POST /InvestimentosWEB/carteira HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:01:51 -0300] "POST /InvestimentosWEB/carteira HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:01:51 -0300] "GET /InvestimentosWEB/carteira.jsp HTTP/1.1" 200 4014
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:01:51 -0300] "GET /InvestimentosWEB/carteira.jsp HTTP/1.1" 200 6712
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:01:58 -0300] "POST /InvestimentosWEB/carteira HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:01:58 -0300] "GET /InvestimentosWEB/carteira.jsp HTTP/1.1" 200 3624
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:19:07 -0300] "POST /InvestimentosWEB/carteira HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:19:08 -0300] "GET /InvestimentosWEB/carteira.jsp HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:19:13 -0300] "GET /InvestimentosWEB/carteira.jsp HTTP/1.1" 200 3420
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:19:17 -0300] "GET /InvestimentosWEB/carteira.jsp HTTP/1.1" 200 3420
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:19:19 -0300] "GET /InvestimentosWEB/carteira.jsp HTTP/1.1" 200 3420
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:19:25 -0300] "POST /InvestimentosWEB/carteira HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:19:25 -0300] "GET /InvestimentosWEB/carteira.jsp HTTP/1.1" 200 3045
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:20:39 -0300] "GET /InvestimentosWEB/carteira.jsp HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:20:48 -0300] "POST /InvestimentosWEB/carteira HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:20:48 -0300] "GET /InvestimentosWEB/carteira.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:21:51 -0300] "POST /InvestimentosWEB/carteira HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:21:52 -0300] "GET /InvestimentosWEB/carteira.jsp HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:22:00 -0300] "POST /InvestimentosWEB/carteira HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:22:00 -0300] "GET /InvestimentosWEB/carteira.jsp HTTP/1.1" 200 2690
0:0:0:0:0:0:0:1 - - [28/Sep/2020:10:22:06 -0300] "POST /InvestimentosWEB/carteira HTTP/1.1" 302 -
